"entered.date","enterer","date","time","observer","plant","sex","exclosure","position","pre","m1","m2.early","m2.late","f.early","f.late","post","abort","imm","notes","projected","osr.0.f","osr.1.f","osr.2.f","osr.3.f","osr.4.f","osr.5.f","osr.patch.f","osr.0.m","osr.1.m","osr.2.m","osr.3.m","osr.4.m","osr.5.m","osr.patch.m","size.0.f","size.1.f","size.2.f","size.3.f","size.4.f","size.5.f","size.patch.f","size.0.m","size.1.m","size.2.m","size.3.m","size.4.m","size.5.m","size.patch.m"
"2014-07-07","KME",2014-06-30,"15:19:00","MA","A1402","F",2,3,0,0,0,0,0,0,1,0,0,"didn't distinguish early from late ♂2 and ♀",0,0,0.5,0.5,0,0.5,0.456204379562044,0.45045045045045,NA,NA,NA,NA,NA,NA,NA,0.31,2,1,0.31,2,5.48,11.1,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"15:19:00","MA","A1232","F",2,4,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,NA,0.453172205438066,0.5,0.297619047619048,0.48661800486618,0.45045045045045,NA,NA,NA,NA,NA,NA,NA,0,0,3.31,2,1.68,4.11,11.1,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"15:19:00","MA","A2127","F",2,5,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,NA,NA,0.5,0.464037122969838,0.431778929188256,0.45045045045045,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,4.31,5.79,11.1,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"15:19:00","MA","A1288","H",2,6,0,0,0,0,2,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,0.5,0.381679389312977,0,0.5,0.364963503649635,0.72992700729927,0.45045045045045,NA,NA,NA,NA,NA,NA,NA,2,1.31,0.31,2,4.11,1.37,11.1,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"15:19:00","MA","A1097","H",2,7,0,0,0,0,0,0,0,2,1,"didn't distinguish early from late ♂2 and ♀",0,NA,0.5,0.464037122969838,0.297619047619048,0.48661800486618,NA,0.45045045045045,NA,NA,NA,NA,NA,NA,NA,0,1,4.31,1.68,4.11,0,11.1,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"15:19:00","MA","A3556","H",2,8,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,NA,NA,0.5,0.495049504950495,0.327868852459016,0.45045045045045,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,5.05,3.05,11.1,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"15:19:00","MA","A1119","F",2,9,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,0.432900432900433,0.381679389312977,0.5,0.364963503649635,0.72992700729927,0.45045045045045,NA,NA,NA,NA,NA,NA,NA,0,2.31,1.31,2,4.11,1.37,11.1,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"15:19:00","MA","D42","H",2,10,0,0,0,0,1,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,0.5,0.5,0.381679389312977,0.364963503649635,0.72992700729927,NA,0.45045045045045,NA,NA,NA,NA,NA,NA,NA,1,2,2.62,4.11,1.37,0,11.1,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"15:19:00","MA","A487","H",2,11,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,NA,0.5,0.495049504950495,0.327868852459016,NA,0.45045045045045,NA,NA,NA,NA,NA,NA,NA,0,0,3,5.05,3.05,0,11.1,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"15:19:00","MA","A1246","F",2,12,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,NA,NA,0.5,0.53475935828877,0.373134328358209,0.45045045045045,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,3.74,5.36,11.1,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"15:19:00","MA","A2053","F",2,13,2,0,0,0,0,0,1,0,0,"didn't distinguish early from late ♂2 and ♀",0,0,NA,0.5,0.389408099688474,0.72992700729927,NA,0.45045045045045,NA,NA,NA,NA,NA,NA,NA,0.31,0,3,6.42,1.37,0,11.1,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"15:19:00","MA","A1474","H",2,14,0,1,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,0.5,0.389408099688474,0.595238095238095,NA,NA,0.45045045045045,NA,NA,NA,NA,NA,NA,NA,0,3,6.42,1.68,0,0,11.1,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"15:19:00","MA","A1492","H",2,15,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,0.5,0.53475935828877,0.421940928270042,0,NA,0.45045045045045,NA,NA,NA,NA,NA,NA,NA,0,2,3.74,4.74,0.62,0,11.1,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"15:19:00","MA","A1516","H",2,16,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,NA,NA,0.527426160337553,0.401069518716578,0.381679389312977,0.45045045045045,NA,NA,NA,NA,NA,NA,NA,0,0,0,4.74,3.74,2.62,11.1,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"15:19:00","MA","A3474","H",2,17,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,0,0.439077936333699,0.595238095238095,NA,NA,0.45045045045045,NA,NA,NA,NA,NA,NA,NA,0,0.31,9.11,1.68,0,0,11.1,0,0,0,0,0,0,0
